                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                 2.5557,                0.68389,                 1.0509,                0.78574,                0.73239,                0.77502,                 0.4559,                 2.4727,                0.72308,                 1.0652,             0.00055006,             0.00055006,             0.00055006
                    105,                 2.5538,                0.67756,                 1.0748,                0.81164,                0.74708,                0.78713,                0.47345,                 2.4942,                0.71094,                 1.0592,             0.00054456,             0.00054456,             0.00054456
                    106,                 2.5415,                0.67789,                  1.051,                0.82337,                0.73827,                 0.7892,                0.46527,                 2.4525,                0.70094,                 1.0618,             0.00053906,             0.00053906,             0.00053906
                    107,                 2.5971,                0.66785,                 1.0512,                0.79702,                0.72579,                0.78688,                0.47607,                 2.4843,                 0.7076,                 1.0598,             0.00053356,             0.00053356,             0.00053356
                    108,                 2.5487,                0.67838,                 1.0606,                0.82524,                0.75238,                0.78831,                0.46664,                 2.4498,                0.71027,                  1.057,             0.00052806,             0.00052806,             0.00052806
                    109,                 2.5014,                0.67892,                 1.0525,                0.80195,                0.74397,                0.79454,                0.46902,                 2.4615,                0.70661,                 1.0588,             0.00052256,             0.00052256,             0.00052256
                    110,                 2.4749,                0.67452,                 1.0465,                0.80732,                0.72615,                0.78679,                0.47068,                 2.4484,                0.70129,                 1.0588,             0.00051706,             0.00051706,             0.00051706
                    111,                 2.4975,                0.67431,                  1.047,                0.80492,                0.77058,                0.79338,                0.47235,                 2.4264,                0.71606,                 1.0595,             0.00051156,             0.00051156,             0.00051156
                    112,                 2.5032,                0.66592,                 1.0457,                0.84513,                 0.7545,                0.80002,                 0.4685,                  2.382,                0.70664,                 1.0615,             0.00050606,             0.00050606,             0.00050606
                    113,                 2.4953,                0.66824,                 1.0483,                 0.8113,                0.76099,                0.77332,                0.45285,                 2.3311,                0.70795,                 1.0663,             0.00050056,             0.00050056,             0.00050056
                    114,                 2.5585,                0.65427,                 1.0451,                0.87852,                0.75474,                 0.8039,                 0.4802,                 2.3465,                0.70189,                 1.0624,             0.00049506,             0.00049506,             0.00049506
                    115,                 2.4645,                0.66559,                 1.0541,                0.84916,                0.75923,                0.79713,                 0.4795,                 2.3656,                0.70033,                  1.059,             0.00048956,             0.00048956,             0.00048956
                    116,                 2.4482,                0.67096,                 1.0451,                0.83161,                0.74646,                0.79944,                0.47216,                 2.3867,                0.70192,                 1.0524,             0.00048406,             0.00048406,             0.00048406
                    117,                 2.4884,                0.65779,                 1.0468,                0.84896,                0.74482,                0.80558,                0.48808,                  2.354,                0.70296,                 1.0581,             0.00047856,             0.00047856,             0.00047856
                    118,                 2.4005,                0.66853,                 1.0382,                0.85028,                0.73142,                0.80074,                0.47899,                 2.3277,                0.72095,                   1.06,             0.00047306,             0.00047306,             0.00047306
                    119,                 2.4442,                0.65916,                 1.0414,                0.85021,                0.77093,                0.80239,                0.48637,                 2.3422,                0.70772,                 1.0534,             0.00046756,             0.00046756,             0.00046756
                    120,                 2.4108,                0.65427,                   1.04,                0.79131,                0.77181,                 0.7985,                0.47617,                 2.3033,                0.70433,                 1.0573,             0.00046206,             0.00046206,             0.00046206
                    121,                  2.399,                0.66655,                 1.0389,                0.85181,                0.75872,                0.80243,                0.47753,                 2.3062,                0.70363,                  1.054,             0.00045657,             0.00045657,             0.00045657
                    122,                 2.3838,                0.66203,                 1.0517,                0.82397,                0.75848,                0.80003,                0.48601,                 2.2868,                0.71076,                 1.0565,             0.00045107,             0.00045107,             0.00045107
                    123,                  2.411,                0.65034,                  1.039,                0.83053,                0.76373,                0.80575,                0.48492,                 2.2929,                0.70087,                 1.0534,             0.00044557,             0.00044557,             0.00044557
                    124,                 2.4066,                0.65299,                 1.0367,                 0.8366,                0.75785,                0.80683,                0.48129,                 2.2815,                0.70849,                 1.0572,             0.00044007,             0.00044007,             0.00044007
                    125,                 2.4243,                0.64744,                 1.0399,                0.83588,                0.74364,                0.82087,                0.49727,                 2.2879,                0.69632,                 1.0546,             0.00043457,             0.00043457,             0.00043457
                    126,                 2.3911,                0.64906,                 1.0339,                0.82564,                0.74581,                0.79734,                0.48749,                 2.2649,                0.70411,                  1.052,             0.00042907,             0.00042907,             0.00042907
                    127,                 2.3987,                0.64409,                   1.04,                0.82611,                0.76079,                0.79157,                0.47447,                 2.2752,                 0.7129,                 1.0528,             0.00042357,             0.00042357,             0.00042357
                    128,                 2.3407,                0.65326,                 1.0414,                0.83167,                 0.7575,                0.79439,                0.47784,                 2.2063,                0.71642,                 1.0563,             0.00041807,             0.00041807,             0.00041807
                    129,                 2.3848,                0.63695,                   1.03,                0.83839,                0.76805,                0.81169,                0.48554,                 2.2024,                0.71685,                 1.0574,             0.00041257,             0.00041257,             0.00041257
                    130,                 2.3207,                 0.6507,                 1.0311,                0.81816,                 0.7688,                0.80249,                0.48537,                 2.1877,                0.70387,                 1.0563,             0.00040707,             0.00040707,             0.00040707
                    131,                 2.3108,                0.64471,                 1.0289,                0.82282,                0.76783,                0.80819,                0.48807,                  2.225,                0.69924,                 1.0496,             0.00040157,             0.00040157,             0.00040157
                    132,                 2.3844,                0.63584,                 1.0348,                 0.8193,                0.75082,                0.81308,                0.49844,                 2.1832,                0.69977,                 1.0544,             0.00039607,             0.00039607,             0.00039607
                    133,                 2.3559,                0.64089,                 1.0282,                0.82623,                0.76328,                0.81821,                0.50005,                 2.2302,                0.69312,                 1.0474,             0.00039057,             0.00039057,             0.00039057
                    134,                 2.3021,                0.64091,                 1.0347,                0.86174,                0.74283,                0.80072,                0.49053,                 2.1743,                0.69211,                 1.0509,             0.00038507,             0.00038507,             0.00038507
                    135,                 2.3467,                0.63844,                 1.0312,                0.85134,                0.75781,                0.80845,                0.49145,                 2.1696,                0.69704,                 1.0494,             0.00037957,             0.00037957,             0.00037957
                    136,                 2.2868,                 0.6398,                 1.0333,                0.86284,                 0.7761,                0.81926,                0.49839,                  2.166,                0.68337,                 1.0512,             0.00037407,             0.00037407,             0.00037407
                    137,                 2.2586,                0.64301,                 1.0292,                0.84729,                0.78425,                0.82862,                0.50759,                 2.1647,                0.68595,                  1.048,             0.00036857,             0.00036857,             0.00036857
                    138,                 2.2486,                0.64272,                 1.0305,                0.83463,                0.76341,                0.80225,                0.48391,                 2.1453,                0.69203,                 1.0509,             0.00036307,             0.00036307,             0.00036307
                    139,                 2.3191,                0.62913,                 1.0299,                0.84106,                0.76084,                0.79788,                0.48528,                 2.1485,                0.68743,                 1.0482,             0.00035758,             0.00035758,             0.00035758
                    140,                 2.2327,                0.64023,                  1.024,                0.85206,                 0.7421,                0.79804,                0.48199,                 2.1053,                0.69491,                 1.0527,             0.00035208,             0.00035208,             0.00035208
                    141,                 2.2334,                0.64019,                  1.035,                0.84202,                0.76372,                0.81453,                0.49015,                 2.1326,                0.68744,                 1.0483,             0.00034658,             0.00034658,             0.00034658
                    142,                 2.2522,                0.63299,                 1.0216,                0.85322,                0.75907,                0.82749,                0.49885,                 2.1077,                 0.6845,                 1.0482,             0.00034108,             0.00034108,             0.00034108
                    143,                 2.2501,                0.63084,                  1.025,                0.84999,                 0.7587,                0.80214,                0.48655,                  2.076,                0.69065,                 1.0504,             0.00033558,             0.00033558,             0.00033558
                    144,                 2.2617,                0.62742,                 1.0202,                0.84068,                0.76682,                0.80583,                0.49276,                 2.0913,                0.68048,                 1.0459,             0.00033008,             0.00033008,             0.00033008
                    145,                 2.2197,                0.63313,                 1.0285,                0.83262,                 0.7567,                0.80739,                0.49155,                 2.0822,                0.67598,                 1.0433,             0.00032458,             0.00032458,             0.00032458
                    146,                 2.2386,                 0.6228,                 1.0236,                0.87791,                0.74983,                0.82056,                0.50231,                 2.0526,                0.67979,                 1.0434,             0.00031908,             0.00031908,             0.00031908
                    147,                   2.22,                0.63635,                   1.02,                0.84513,                0.75775,                0.82222,                0.50461,                 2.0678,                0.67587,                 1.0445,             0.00031358,             0.00031358,             0.00031358
                    148,                 2.2711,                0.61642,                 1.0222,                0.85063,                0.75557,                0.80972,                 0.5031,                 2.0516,                0.68241,                 1.0461,             0.00030808,             0.00030808,             0.00030808
                    149,                 2.1714,                0.62981,                 1.0229,                0.84447,                0.74078,                 0.8115,                0.48773,                 2.0302,                0.68669,                 1.0465,             0.00030258,             0.00030258,             0.00030258
